,Copper,Cotton,Hard_Logs,Hides,Iron_Ore,Lead,Nickel,Rubber
1/1/1992,2197.085799,57.08166631,191.6800028,69.43979899,14.31,514.8557739,7616.530599,36.88496399
4/1/1992,2243.307937,60.82166672,189.4033305,77.57504272,14.31,535.0084635,7318.08724,39.36961238
7/1/1992,2486.78973,60.56333669,187.5766652,75.71996053,14.31,637.7896322,7238.165365,39.87342962
10/1/1992,2212.065448,53.26916631,218.1033376,80.72429657,14.31,486.4013367,5889.135091,40.1958046
1/1/1993,2209.591855,59.76548386,290.6933339,80.91948446,12.58,419.1099854,5991.254395,40.04700597
4/1/1993,1870.281003,59.90777461,492.6800028,79.63484701,12.58,408.9441935,5769.869303,37.03915914
7/1/1993,1912.220398,56.21750005,433.8299967,78.75685628,12.58,385.2860718,4722.567708,37.11452993
10/1/1993,1667.731036,56.18690364,338.7166646,80.80699921,12.58,416.0275981,4748.976563,36.62825012
1/1/1994,1861.773433,76.56083171,302.8999939,76.37015533,11.45,475.6472371,5668.194173,38.94059881
4/1/1994,2129.653187,85.16249847,350.7666728,86.94444529,11.45,480.2518311,5923.388509,45.03174845
7/1/1994,2453.943013,78.08249919,330.2865601,91.32865906,11.45,587.5234375,6152.463053,57.13655217
10/1/1994,2776.756387,79.05694326,281.3333333,92.61537425,11.45,651.4463094,7583.684245,63.15715917
1/1/1995,2931.128677,101.7375005,262.1327159,93.1631724,12.27,608.2176514,8516.610514,78.89386241
4/1/1995,2884.714007,111.144165,290.8949992,98.12041473,12.27,603.9771525,7514.884603,77.08440399
7/1/1995,3009.003766,90.57569122,242.1693726,83.53253174,12.27,612.345459,8649.022786,60.31015142
10/1/1995,2903.299285,89.74583435,235.5314433,77.73829397,12.27,692.6375529,8213.723307,70.44820786
1/1/1996,2571.005534,85.3100001,244.5795848,75.55837504,12.97,765.0031942,8038.538086,70.5157547
4/1/1996,2476.845627,83.0049998,256.939682,84.78758494,12.97,816.525411,7934.338216,66.97329712
7/1/1996,1978.954479,77.30250041,260.6198222,94.88209025,12.97,798.0703939,7190.012533,59.86323929
10/1/1996,2146.739867,76.54116821,246.4444631,94.05552928,12.97,716.9026896,6853.486003,56.98800786
1/1/1997,2418.029521,80.26499939,237.2095744,94.32402293,13.04,680.9900106,7566.308594,55.61962636
4/1/1997,2504.634595,79.53249868,252.3967438,89.89790599,13.04,624.5037435,7283.04541,50.94302877
7/1/1997,2267.868434,80.67416636,244.1090546,82.85107676,13.04,624.5853271,6698.491699,41.1867218
10/1/1997,1910.215968,76.44299825,217.2541809,85.93803151,13.04,562.1779175,6151.036296,36.88665136
1/1/1998,1699.586386,69.80000051,198.3583069,75.67384593,13.41,535.0841064,5417.765137,33.9211216
4/1/1998,1729.459398,66.33266703,150.3208008,83.99913534,13.41,546.9960124,4954.91569,34.13739141
7/1/1998,1640.788166,68.14216614,140.6507365,79.19348653,13.41,529.9824626,4170.50944,30.84682147
